,columns,missing values count
177,Sensor - 178,0
178,Sensor - 179,171
179,Sensor - 180,0
180,Sensor - 181,0
181,Sensor - 182,0
182,Sensor - 183,0
183,Sensor - 184,0
184,Sensor - 185,0
185,Sensor - 186,0
186,Sensor - 187,0
187,Sensor - 188,0
188,Sensor - 189,0
189,Sensor - 190,0
190,Sensor - 191,12
191,Sensor - 192,12
192,Sensor - 193,12
193,Sensor - 194,12
194,Sensor - 195,12
195,Sensor - 196,12
196,Sensor - 197,59
197,Sensor - 198,59
198,Sensor - 199,59
199,Sensor - 200,59
200,Sensor - 201,59
201,Sensor - 202,59
202,Sensor - 203,59
203,Sensor - 204,59
204,Sensor - 205,59
205,Sensor - 206,59
206,Sensor - 207,59
207,Sensor - 208,59
208,Sensor - 209,59
209,Sensor - 210,59
210,Sensor - 211,302
211,Sensor - 212,302
212,Sensor - 213,302
213,Sensor - 214,302
214,Sensor - 215,302
215,Sensor - 216,302
216,Sensor - 217,302
217,Sensor - 218,302
218,Sensor - 219,12
219,Sensor - 220,22
220,Sensor - 221,7203
221,Sensor - 222,0
222,Sensor - 223,0
223,Sensor - 224,0
224,Sensor - 225,600
225,Sensor - 226,600
226,Sensor - 227,57
227,Sensor - 228,24
228,Sensor - 229,24
229,Sensor - 230,57
230,Sensor - 231,57
231,Sensor - 232,57
232,Sensor - 233,57
233,Sensor - 234,57
234,Sensor - 235,57
235,Sensor - 236,57
236,Sensor - 237,57
237,Sensor - 238,57
238,Sensor - 239,24
239,Sensor - 240,24
240,Sensor - 241,57
241,Sensor - 242,57
242,Sensor - 243,57
243,Sensor - 244,57
244,Sensor - 245,3361
245,Sensor - 246,3361
246,Sensor - 247,3361
247,Sensor - 248,6566
248,Sensor - 249,0
249,Sensor - 250,0
250,Sensor - 251,0
251,Sensor - 252,0
252,Sensor - 253,0
253,Sensor - 254,302
254,Sensor - 255,0
255,Sensor - 256,0
256,Sensor - 257,36
257,Sensor - 258,36
258,Sensor - 259,36
259,Sensor - 260,36
260,Sensor - 261,36
261,Sensor - 262,36
262,Sensor - 263,36
263,Sensor - 264,36
264,Sensor - 265,36
265,Sensor - 266,36
266,Sensor - 267,36
267,Sensor - 268,36
268,Sensor - 269,36
269,Sensor - 270,36
270,Sensor - 271,0
271,Sensor - 272,12
272,Sensor - 273,35
273,Sensor - 274,155
274,Sensor - 275,155
275,Sensor - 276,155
276,Sensor - 277,155
277,Sensor - 278,155
278,Sensor - 279,97
279,Sensor - 280,24
280,Sensor - 281,24
281,Sensor - 282,24
282,Sensor - 283,24
283,Sensor - 284,24
284,Sensor - 285,36
285,Sensor - 286,36
286,Sensor - 287,36
287,Sensor - 288,36
288,Sensor - 289,36
289,Sensor - 290,36
290,Sensor - 291,0
291,Sensor - 292,0
292,Sensor - 293,9071
293,Sensor - 294,9071
294,Sensor - 295,11
295,Sensor - 296,11
296,Sensor - 297,11
297,Sensor - 298,11
298,Sensor - 299,11
299,Sensor - 300,11
300,Sensor - 301,11
301,Sensor - 302,11
302,Sensor - 303,11
303,Sensor - 304,11
304,Sensor - 305,11
305,Sensor - 306,0
306,Sensor - 307,0
307,Sensor - 308,0
308,Sensor - 309,0
309,Sensor - 310,0
310,Sensor - 311,0
311,Sensor - 312,0
312,Sensor - 313,0
313,Sensor - 314,171
314,Sensor - 315,171
315,Sensor - 316,0
316,Sensor - 317,0
317,Sensor - 318,0
318,Sensor - 319,0
319,Sensor - 320,0
320,Sensor - 321,0
321,Sensor - 322,0
322,Sensor - 323,0
323,Sensor - 324,0
324,Sensor - 325,0
325,Sensor - 326,0
326,Sensor - 327,12
327,Sensor - 328,12
328,Sensor - 329,12
329,Sensor - 330,12
330,Sensor - 331,12
331,Sensor - 332,12
332,Sensor - 333,59
333,Sensor - 334,59
334,Sensor - 335,59
335,Sensor - 336,59
336,Sensor - 337,59
337,Sensor - 338,59
338,Sensor - 339,59
339,Sensor - 340,59
340,Sensor - 341,59
341,Sensor - 342,59
342,Sensor - 343,59
343,Sensor - 344,59
344,Sensor - 345,59
345,Sensor - 346,6252
346,Sensor - 347,6252
347,Sensor - 348,59
348,Sensor - 349,302
349,Sensor - 350,302
350,Sensor - 351,302
351,Sensor - 352,302
352,Sensor - 353,302
353,Sensor - 354,302
354,Sensor - 355,302
355,Sensor - 356,302
356,Sensor - 357,12
357,Sensor - 358,22
358,Sensor - 359,7203
359,Sensor - 360,0
360,Sensor - 361,0
361,Sensor - 362,0
362,Sensor - 363,600
363,Sensor - 364,600
364,Sensor - 365,57
365,Sensor - 366,24
366,Sensor - 367,24
367,Sensor - 368,57
368,Sensor - 369,57
369,Sensor - 370,57
370,Sensor - 371,57
371,Sensor - 372,57
372,Sensor - 373,57
373,Sensor - 374,57
374,Sensor - 375,57
375,Sensor - 376,57
376,Sensor - 377,24
377,Sensor - 378,24
378,Sensor - 379,57
379,Sensor - 380,57
380,Sensor - 381,57
381,Sensor - 382,57
382,Sensor - 383,3361
383,Sensor - 384,3361
384,Sensor - 385,3361
385,Sensor - 386,6566
386,Sensor - 387,0
387,Sensor - 388,0
388,Sensor - 389,0
389,Sensor - 390,0
390,Sensor - 391,0
391,Sensor - 392,302
392,Sensor - 393,0
393,Sensor - 394,0
394,Sensor - 395,36
395,Sensor - 396,36
396,Sensor - 397,36
397,Sensor - 398,36
398,Sensor - 399,36
399,Sensor - 400,36
400,Sensor - 401,36
401,Sensor - 402,36
402,Sensor - 403,36
403,Sensor - 404,36
404,Sensor - 405,36
405,Sensor - 406,36
406,Sensor - 407,36
407,Sensor - 408,36
408,Sensor - 409,0
409,Sensor - 410,12
410,Sensor - 411,35
411,Sensor - 412,155
412,Sensor - 413,155
413,Sensor - 414,155
414,Sensor - 415,155
415,Sensor - 416,155
416,Sensor - 417,97
417,Sensor - 418,24
418,Sensor - 419,24
419,Sensor - 420,24
420,Sensor - 421,24
421,Sensor - 422,24
422,Sensor - 423,36
423,Sensor - 424,36
424,Sensor - 425,36
425,Sensor - 426,36
426,Sensor - 427,36
427,Sensor - 428,36
428,Sensor - 429,0
429,Sensor - 430,0
430,Sensor - 431,11
431,Sensor - 432,11
432,Sensor - 433,11
433,Sensor - 434,11
434,Sensor - 435,11
435,Sensor - 436,11
436,Sensor - 437,11
437,Sensor - 438,11
438,Sensor - 439,11
439,Sensor - 440,11
440,Sensor - 441,11
441,Sensor - 442,0
442,Sensor - 443,0
443,Sensor - 444,0
444,Sensor - 445,0
445,Sensor - 446,0
446,Sensor - 447,0
447,Sensor - 448,0
448,Sensor - 449,0
449,Sensor - 450,171
450,Sensor - 451,171
451,Sensor - 452,0
452,Sensor - 453,0
453,Sensor - 454,0
454,Sensor - 455,0
455,Sensor - 456,0
456,Sensor - 457,0
457,Sensor - 458,0
458,Sensor - 459,0
459,Sensor - 460,0
460,Sensor - 461,0
461,Sensor - 462,0
462,Sensor - 463,12
463,Sensor - 464,12
464,Sensor - 465,12
465,Sensor - 466,12
466,Sensor - 467,12
467,Sensor - 468,12
468,Sensor - 469,59
469,Sensor - 470,59
470,Sensor - 471,59
471,Sensor - 472,59
472,Sensor - 473,59
473,Sensor - 474,59
474,Sensor - 475,59
475,Sensor - 476,59
476,Sensor - 477,59
477,Sensor - 478,59
478,Sensor - 479,59
479,Sensor - 480,59
480,Sensor - 481,59
481,Sensor - 482,59
482,Sensor - 483,302
483,Sensor - 484,302
484,Sensor - 485,302
485,Sensor - 486,302
486,Sensor - 487,302
487,Sensor - 488,302
488,Sensor - 489,302
489,Sensor - 490,302
490,Sensor - 491,12
491,Sensor - 492,22
492,Sensor - 493,7203
493,Sensor - 494,0
494,Sensor - 495,0
495,Sensor - 496,0
496,Sensor - 497,600
497,Sensor - 498,600
498,Sensor - 499,57
499,Sensor - 500,24
500,Sensor - 501,24
501,Sensor - 502,57
502,Sensor - 503,57
503,Sensor - 504,57
504,Sensor - 505,57
505,Sensor - 506,57
506,Sensor - 507,57
507,Sensor - 508,57
508,Sensor - 509,57
509,Sensor - 510,57
510,Sensor - 511,24
511,Sensor - 512,24
512,Sensor - 513,57
513,Sensor - 514,57
514,Sensor - 515,57
515,Sensor - 516,57
516,Sensor - 517,3361
517,Sensor - 518,3361
518,Sensor - 519,3361
519,Sensor - 520,6566
520,Sensor - 521,0
521,Sensor - 522,0
522,Sensor - 523,0
523,Sensor - 524,0
524,Sensor - 525,0
525,Sensor - 526,302
526,Sensor - 527,0
527,Sensor - 528,0
528,Sensor - 529,36
529,Sensor - 530,36
530,Sensor - 531,36
531,Sensor - 532,36
532,Sensor - 533,36
533,Sensor - 534,36
534,Sensor - 535,36
535,Sensor - 536,36
536,Sensor - 537,36
537,Sensor - 538,36
538,Sensor - 539,36
539,Sensor - 540,36
540,Sensor - 541,36
541,Sensor - 542,36
542,Sensor - 543,20
543,Sensor - 544,20
544,Sensor - 545,20
545,Sensor - 546,20
546,Sensor - 547,829
547,Sensor - 548,829
548,Sensor - 549,829
549,Sensor - 550,829
550,Sensor - 551,829
551,Sensor - 552,829
552,Sensor - 553,829
553,Sensor - 554,829
554,Sensor - 555,829
555,Sensor - 556,829
556,Sensor - 557,829
557,Sensor - 558,829
558,Sensor - 559,0
559,Sensor - 560,0
560,Sensor - 561,0
561,Sensor - 562,0
562,Sensor - 563,178
563,Sensor - 564,178
564,Sensor - 565,178
565,Sensor - 566,178
566,Sensor - 567,178
567,Sensor - 568,178
568,Sensor - 569,178
569,Sensor - 570,178
570,Sensor - 571,0
571,Sensor - 572,0
572,Sensor - 573,0
573,Sensor - 574,0
574,Sensor - 575,0
575,Sensor - 576,0
576,Sensor - 577,0
577,Sensor - 578,0
578,Sensor - 579,5872
579,Sensor - 580,5872
580,Sensor - 581,5872
581,Sensor - 582,5872
582,Sensor - 583,0
583,Sensor - 584,0
584,Sensor - 585,0
585,Sensor - 586,0
586,Sensor - 587,0
587,Sensor - 588,0
588,Sensor - 589,0
589,Sensor - 590,0
